ReportGroup,GamingDate,Total HeadCount
BW Property Total,2024-01-01 00:00:00.000,6217
BW Property Total,2024-01-02 00:00:00.000,5684
BW Property Total,2024-01-03 00:00:00.000,5918
BW Property Total,2024-01-04 00:00:00.000,5754
BW Property Total,2024-01-05 00:00:00.000,6843
BW Property Total,2024-01-06 00:00:00.000,5897
BW Property Total,2024-01-07 00:00:00.000,5199
BW Property Total,2024-01-08 00:00:00.000,6258
BW Property Total,2024-01-09 00:00:00.000,6236
BW Property Total,2024-01-10 00:00:00.000,6647
BW Property Total,2024-01-11 00:00:00.000,6642
BW Property Total,2024-01-12 00:00:00.000,7026
BW Property Total,2024-01-13 00:00:00.000,11164
BW Property Total,2024-01-14 00:00:00.000,5881
BW Property Total,2024-01-15 00:00:00.000,6187
BW Property Total,2024-01-16 00:00:00.000,6520
BW Property Total,2024-01-17 00:00:00.000,6337
BW Property Total,2024-01-18 00:00:00.000,6505
BW Property Total,2024-01-19 00:00:00.000,7375
BW Property Total,2024-01-20 00:00:00.000,9095
BW Property Total,2024-01-21 00:00:00.000,6095
BW Property Total,2024-01-22 00:00:00.000,6111
BW Property Total,2024-01-23 00:00:00.000,6791
BW Property Total,2024-01-24 00:00:00.000,6606
BW Property Total,2024-01-25 00:00:00.000,7348
BW Property Total,2024-01-26 00:00:00.000,11552
BW Property Total,2024-01-27 00:00:00.000,14164
BW Property Total,2024-01-28 00:00:00.000,10311
BW Property Total,2024-01-29 00:00:00.000,11010
BW Property Total,2024-01-30 00:00:00.000,7167
BW Property Total,2024-01-31 00:00:00.000,12127
BW Property Total,2024-02-01 00:00:00.000,7698
BW Property Total,2024-02-02 00:00:00.000,9311
BW Property Total,2024-02-03 00:00:00.000,12435
BW Property Total,2024-02-04 00:00:00.000,13556
BW Property Total,2024-02-05 00:00:00.000,7995
BW Property Total,2024-02-06 00:00:00.000,8629
BW Property Total,2024-02-07 00:00:00.000,7647
BW Property Total,2024-02-08 00:00:00.000,7899
BW Property Total,2024-02-09 00:00:00.000,7996
BW Property Total,2024-02-10 00:00:00.000,9096
BW Property Total,2024-02-11 00:00:00.000,9435
BW Property Total,2024-02-12 00:00:00.000,10218
BW Property Total,2024-02-13 00:00:00.000,11163
BW Property Total,2024-02-14 00:00:00.000,9441
BW Property Total,2024-02-15 00:00:00.000,9512
BW Property Total,2024-02-16 00:00:00.000,9433
BW Property Total,2024-02-17 00:00:00.000,11049
BW Property Total,2024-02-18 00:00:00.000,7519
BW Property Total,2024-02-19 00:00:00.000,7520
BW Property Total,2024-02-20 00:00:00.000,7628
BW Property Total,2024-02-21 00:00:00.000,7406
BW Property Total,2024-02-22 00:00:00.000,8478
BW Property Total,2024-02-23 00:00:00.000,7778
BW Property Total,2024-02-24 00:00:00.000,7143
BW Property Total,2024-02-25 00:00:00.000,6269
BW Property Total,2024-02-26 00:00:00.000,6691
BW Property Total,2024-02-27 00:00:00.000,6620
BW Property Total,2024-02-28 00:00:00.000,6835
BW Property Total,2024-02-29 00:00:00.000,6901
BW Property Total,2024-03-01 00:00:00.000,7657
BW Property Total,2024-03-02 00:00:00.000,6608
BW Property Total,2024-03-03 00:00:00.000,8570
BW Property Total,2024-03-04 00:00:00.000,6963
BW Property Total,2024-03-05 00:00:00.000,7505
BW Property Total,2024-03-06 00:00:00.000,7017
BW Property Total,2024-03-07 00:00:00.000,6738
BW Property Total,2024-03-08 00:00:00.000,7625
BW Property Total,2024-03-09 00:00:00.000,7360
BW Property Total,2024-03-10 00:00:00.000,7492
BW Property Total,2024-03-11 00:00:00.000,6772
BW Property Total,2024-03-12 00:00:00.000,7574
BW Property Total,2024-03-13 00:00:00.000,7578
BW Property Total,2024-03-14 00:00:00.000,8240
BW Property Total,2024-03-15 00:00:00.000,9344
BW Property Total,2024-03-16 00:00:00.000,8836
BW Property Total,2024-03-17 00:00:00.000,8283
BW Property Total,2024-03-18 00:00:00.000,7277
BW Property Total,2024-03-19 00:00:00.000,7509
BW Property Total,2024-03-20 00:00:00.000,7791
BW Property Total,2024-03-21 00:00:00.000,7957
BW Property Total,2024-03-22 00:00:00.000,8317
BW Property Total,2024-03-23 00:00:00.000,8492
BW Property Total,2024-03-24 00:00:00.000,8034
BW Property Total,2024-03-25 00:00:00.000,7734
BW Property Total,2024-03-26 00:00:00.000,8315
BW Property Total,2024-03-27 00:00:00.000,7878
BW Property Total,2024-03-28 00:00:00.000,8764
BW Property Total,2024-03-29 00:00:00.000,7871
BW Property Total,2024-03-30 00:00:00.000,12370
BW Property Total,2024-03-31 00:00:00.000,7871
BW Property Total,2024-04-01 00:00:00.000,9131
BW Property Total,2024-04-02 00:00:00.000,8435
BW Property Total,2024-04-03 00:00:00.000,8774
BW Property Total,2024-04-04 00:00:00.000,8775
BW Property Total,2024-04-05 00:00:00.000,9366
BW Property Total,2024-04-06 00:00:00.000,11012
BW Property Total,2024-04-07 00:00:00.000,9750
BW Property Total,2024-04-08 00:00:00.000,8363
BW Property Total,2024-04-09 00:00:00.000,8534
BW Property Total,2024-04-10 00:00:00.000,8438
BW Property Total,2024-04-11 00:00:00.000,8734
BW Property Total,2024-04-12 00:00:00.000,9850
BW Property Total,2024-04-13 00:00:00.000,9972
BW Property Total,2024-04-14 00:00:00.000,14549
BW Property Total,2024-04-15 00:00:00.000,8651
BW Property Total,2024-04-16 00:00:00.000,8693
BW Property Total,2024-04-17 00:00:00.000,8918
BW Property Total,2024-04-18 00:00:00.000,8971
BW Property Total,2024-04-19 00:00:00.000,9220
BW Property Total,2024-04-20 00:00:00.000,10452
BW Property Total,2024-04-21 00:00:00.000,12567
BW Property Total,2024-04-22 00:00:00.000,8326
